File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF003BNZ	bed narrowPeak	peaks	ENCSR502GAX	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ZNF652-human	DNA					False	2016-11-08	ENCODE				1							ENCFF047TEL	5825013	ENCODE Processing Pipeline	5f057e86f61d50ebc6720b4e43187ef4		https://www.encodeproject.org/files/ENCFF003BNZ/@@download/ENCFF003BNZ.bed.gz	GRCh38			released	borderline replicate concordance, missing genetic modification characterization, low read depth	characterization(s) pending review		missing control alignments
ENCFF897NDM	bed narrowPeak	peaks	ENCSR502GAX	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ZNF652-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF047TEL, ENCFF901MSA	6391328	ENCODE Processing Pipeline	de8833f6e83f274fa739284aaa8bbe98		https://www.encodeproject.org/files/ENCFF897NDM/@@download/ENCFF897NDM.bed.gz	GRCh38			released	borderline replicate concordance, missing genetic modification characterization, low read depth	characterization(s) pending review		missing control alignments
ENCFF487JWC	bed narrowPeak	peaks	ENCSR502GAX	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ZNF652-human	DNA					False	2016-11-08	ENCODE				2							ENCFF901MSA	5074835	ENCODE Processing Pipeline	9034dc9224253d9c2850db77f0d25fba		https://www.encodeproject.org/files/ENCFF487JWC/@@download/ENCFF487JWC.bed.gz	GRCh38			released	borderline replicate concordance, missing genetic modification characterization, low read depth	characterization(s) pending review		missing control alignments
ENCFF260DMD	bed narrowPeak	conservative idr thresholded peaks	ENCSR502GAX	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ZNF652-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF003BNZ, ENCFF419RSJ, ENCFF487JWC, ENCFF897NDM	199498	ENCODE Processing Pipeline	2d23de196ad4991815a4ac86b94eb240		https://www.encodeproject.org/files/ENCFF260DMD/@@download/ENCFF260DMD.bed.gz	GRCh38			released	borderline replicate concordance, missing genetic modification characterization, low read depth	characterization(s) pending review		missing control alignments
ENCFF761HIZ	bed narrowPeak	optimal idr thresholded peaks	ENCSR502GAX	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ZNF652-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF003BNZ, ENCFF419RSJ, ENCFF487JWC, ENCFF897NDM	283764	ENCODE Processing Pipeline	2439adff029be0bbda115279fb8ffdee		https://www.encodeproject.org/files/ENCFF761HIZ/@@download/ENCFF761HIZ.bed.gz	GRCh38			released	borderline replicate concordance, missing genetic modification characterization, low read depth	characterization(s) pending review		missing control alignments
ENCFF321SGB	bed narrowPeak	peaks	ENCSR502GAX	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ZNF652-human	DNA					False	2016-11-08	ENCODE				1							ENCFF054DOO, ENCFF203ABR	6551829	ENCODE Processing Pipeline	c143228d4d5a01de8a82a3a624d1f32e		https://www.encodeproject.org/files/ENCFF321SGB/@@download/ENCFF321SGB.bed.gz	hg19			released	borderline replicate concordance, missing genetic modification characterization, low read depth	characterization(s) pending review		missing control alignments
ENCFF494IEN	bed narrowPeak	peaks	ENCSR502GAX	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ZNF652-human	DNA					False	2016-11-08	ENCODE				2							ENCFF203ABR, ENCFF229FNO	5964459	ENCODE Processing Pipeline	4e82e7399dff5dd67cb91e195f21589b		https://www.encodeproject.org/files/ENCFF494IEN/@@download/ENCFF494IEN.bed.gz	hg19			released	borderline replicate concordance, missing genetic modification characterization, low read depth	characterization(s) pending review		missing control alignments
ENCFF307BCB	bed narrowPeak	peaks	ENCSR502GAX	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ZNF652-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF054DOO, ENCFF203ABR, ENCFF229FNO	6877974	ENCODE Processing Pipeline	20177e4c9299ffa4d287740fc9e79c37		https://www.encodeproject.org/files/ENCFF307BCB/@@download/ENCFF307BCB.bed.gz	hg19			released	borderline replicate concordance, missing genetic modification characterization, low read depth	characterization(s) pending review		missing control alignments
ENCFF090HSK	bed narrowPeak	conservative idr thresholded peaks	ENCSR502GAX	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ZNF652-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF001TDO, ENCFF307BCB, ENCFF321SGB, ENCFF494IEN	197883	ENCODE Processing Pipeline	8f07585c26f97642edcfabb3a4473b19		https://www.encodeproject.org/files/ENCFF090HSK/@@download/ENCFF090HSK.bed.gz	hg19			released	borderline replicate concordance, missing genetic modification characterization, low read depth	characterization(s) pending review		missing control alignments
ENCFF262NLN	bed narrowPeak	optimal idr thresholded peaks	ENCSR502GAX	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ZNF652-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF001TDO, ENCFF307BCB, ENCFF321SGB, ENCFF494IEN	267714	ENCODE Processing Pipeline	02b377ad2dacf738d5216e2c01733a4c		https://www.encodeproject.org/files/ENCFF262NLN/@@download/ENCFF262NLN.bed.gz	hg19			released	borderline replicate concordance, missing genetic modification characterization, low read depth	characterization(s) pending review		missing control alignments
ENCFF089XBM	bed narrowPeak	peaks	ENCSR961WLZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-SOX5-human	DNA					False	2016-11-08	ENCODE				2							ENCFF425DTQ	6132076	ENCODE Processing Pipeline	4327439ed5eb7c23dc5606de77911429		https://www.encodeproject.org/files/ENCFF089XBM/@@download/ENCFF089XBM.bed.gz	GRCh38			released	borderline replicate concordance, missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF522BHC	bed narrowPeak	peaks	ENCSR961WLZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-SOX5-human	DNA					False	2016-11-08	ENCODE				1							ENCFF392ZYL	6192312	ENCODE Processing Pipeline	c164ceda0dd3344190175cd9f6c7e3b7		https://www.encodeproject.org/files/ENCFF522BHC/@@download/ENCFF522BHC.bed.gz	GRCh38			released	borderline replicate concordance, missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF233KNL	bed narrowPeak	peaks	ENCSR961WLZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-SOX5-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF392ZYL, ENCFF425DTQ	6747765	ENCODE Processing Pipeline	e4eb78b8a516b2aa2b381df42f6c9b63		https://www.encodeproject.org/files/ENCFF233KNL/@@download/ENCFF233KNL.bed.gz	GRCh38			released	borderline replicate concordance, missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF299JTM	bed narrowPeak	conservative idr thresholded peaks	ENCSR961WLZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-SOX5-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF089XBM, ENCFF233KNL, ENCFF419RSJ, ENCFF522BHC	505337	ENCODE Processing Pipeline	050d29f551b742077c5f8be415106078		https://www.encodeproject.org/files/ENCFF299JTM/@@download/ENCFF299JTM.bed.gz	GRCh38			released	borderline replicate concordance, missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF703VBH	bed narrowPeak	optimal idr thresholded peaks	ENCSR961WLZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-SOX5-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF089XBM, ENCFF233KNL, ENCFF419RSJ, ENCFF522BHC	707686	ENCODE Processing Pipeline	4d298c239646137f7678484c9d3d83fc		https://www.encodeproject.org/files/ENCFF703VBH/@@download/ENCFF703VBH.bed.gz	GRCh38			released	borderline replicate concordance, missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF061UUX	bed narrowPeak	peaks	ENCSR961WLZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-SOX5-human	DNA					False	2016-11-08	ENCODE				1							ENCFF203ABR, ENCFF913QFK	6606673	ENCODE Processing Pipeline	930238eeeba70b01e12f0675ba28dc18		https://www.encodeproject.org/files/ENCFF061UUX/@@download/ENCFF061UUX.bed.gz	hg19			released	borderline replicate concordance, missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF338AGZ	bed narrowPeak	peaks	ENCSR961WLZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-SOX5-human	DNA					False	2016-11-08	ENCODE				2							ENCFF203ABR, ENCFF905KCK	6537015	ENCODE Processing Pipeline	c556e712ba20545c81d98bcb8b0160db		https://www.encodeproject.org/files/ENCFF338AGZ/@@download/ENCFF338AGZ.bed.gz	hg19			released	borderline replicate concordance, missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF066LZS	bed narrowPeak	peaks	ENCSR961WLZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-SOX5-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF203ABR, ENCFF905KCK, ENCFF913QFK	6941256	ENCODE Processing Pipeline	831b0091e45e1fff2e3f22a44d36294a		https://www.encodeproject.org/files/ENCFF066LZS/@@download/ENCFF066LZS.bed.gz	hg19			released	borderline replicate concordance, missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF273UXU	bed narrowPeak	conservative idr thresholded peaks	ENCSR961WLZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-SOX5-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF001TDO, ENCFF061UUX, ENCFF066LZS, ENCFF338AGZ	505127	ENCODE Processing Pipeline	fc88ab5a5a852a8cc18f675051ed310f		https://www.encodeproject.org/files/ENCFF273UXU/@@download/ENCFF273UXU.bed.gz	hg19			released	borderline replicate concordance, missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF665EOZ	bed narrowPeak	optimal idr thresholded peaks	ENCSR961WLZ	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-SOX5-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF001TDO, ENCFF061UUX, ENCFF066LZS, ENCFF338AGZ	673774	ENCODE Processing Pipeline	dc39243c3b191952ac385581e35e25ef		https://www.encodeproject.org/files/ENCFF665EOZ/@@download/ENCFF665EOZ.bed.gz	hg19			released	borderline replicate concordance, missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF304NFW	bed narrowPeak	peaks	ENCSR500WXT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-RARA-human	DNA					False	2016-11-08	ENCODE				1							ENCFF649MWS	5831018	ENCODE Processing Pipeline	1003f02319c7176e3ced7977ebd4d493		https://www.encodeproject.org/files/ENCFF304NFW/@@download/ENCFF304NFW.bed.gz	GRCh38			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF963REE	bed narrowPeak	peaks	ENCSR500WXT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-RARA-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF591JSQ, ENCFF649MWS	6505545	ENCODE Processing Pipeline	f8d9625438f1c1f1d379434aa9767893		https://www.encodeproject.org/files/ENCFF963REE/@@download/ENCFF963REE.bed.gz	GRCh38			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF223LFM	bed narrowPeak	peaks	ENCSR500WXT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-RARA-human	DNA					False	2016-11-08	ENCODE				2							ENCFF591JSQ	5786177	ENCODE Processing Pipeline	f50f41f6f84065bf9cfbc37a5fe49719		https://www.encodeproject.org/files/ENCFF223LFM/@@download/ENCFF223LFM.bed.gz	GRCh38			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF458WPZ	bed narrowPeak	optimal idr thresholded peaks	ENCSR500WXT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-RARA-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF223LFM, ENCFF304NFW, ENCFF419RSJ, ENCFF963REE	740552	ENCODE Processing Pipeline	69e38e426571a8e2e3222db87355371e		https://www.encodeproject.org/files/ENCFF458WPZ/@@download/ENCFF458WPZ.bed.gz	GRCh38			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF969XGP	bed narrowPeak	peaks	ENCSR500WXT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-RARA-human	DNA					False	2016-11-08	ENCODE				1							ENCFF203ABR, ENCFF934ZXS	6378259	ENCODE Processing Pipeline	62d1d53fd38c29c88b0dfb60f33df014		https://www.encodeproject.org/files/ENCFF969XGP/@@download/ENCFF969XGP.bed.gz	hg19			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF993HDF	bed narrowPeak	peaks	ENCSR500WXT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-RARA-human	DNA					False	2016-11-08	ENCODE				2							ENCFF203ABR, ENCFF539DZV	6311512	ENCODE Processing Pipeline	6f9b8610d33c0956a0f84b6a45dab71d		https://www.encodeproject.org/files/ENCFF993HDF/@@download/ENCFF993HDF.bed.gz	hg19			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF405THC	bed narrowPeak	peaks	ENCSR500WXT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-RARA-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF203ABR, ENCFF539DZV, ENCFF934ZXS	6761225	ENCODE Processing Pipeline	6a639386832f854fc4686e6d0ce4893e		https://www.encodeproject.org/files/ENCFF405THC/@@download/ENCFF405THC.bed.gz	hg19			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF548VQF	bed narrowPeak	conservative idr thresholded peaks	ENCSR500WXT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-RARA-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF001TDO, ENCFF405THC, ENCFF969XGP, ENCFF993HDF	725834	ENCODE Processing Pipeline	7dbfc138ca154d2e498f06413289ff13		https://www.encodeproject.org/files/ENCFF548VQF/@@download/ENCFF548VQF.bed.gz	hg19			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF075MKV	bed narrowPeak	optimal idr thresholded peaks	ENCSR500WXT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-RARA-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF001TDO, ENCFF405THC, ENCFF969XGP, ENCFF993HDF	730939	ENCODE Processing Pipeline	a789327db791c42e638a1637faa50dd0		https://www.encodeproject.org/files/ENCFF075MKV/@@download/ENCFF075MKV.bed.gz	hg19			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF451NAF	bed narrowPeak	peaks	ENCSR159DQO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ERF-human	DNA					False	2018-02-12	ENCODE				1							ENCFF383BUZ	6933102	ENCODE Processing Pipeline	7cf94c7d878ced840e2b2e1054cbbb08		https://www.encodeproject.org/files/ENCFF451NAF/@@download/ENCFF451NAF.bed.gz	hg19			released	missing genetic modification characterization	experiment not submitted to GEO, characterization(s) pending review		missing control alignments
ENCFF088RCG	bed narrowPeak	peaks	ENCSR159DQO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ERF-human	DNA					False	2018-02-12	ENCODE				2							ENCFF644EWQ	6604906	ENCODE Processing Pipeline	708396ed208f1c4e6e046a8599bd1ab4		https://www.encodeproject.org/files/ENCFF088RCG/@@download/ENCFF088RCG.bed.gz	hg19			released	missing genetic modification characterization	experiment not submitted to GEO, characterization(s) pending review		missing control alignments
ENCFF646BLW	bed narrowPeak	peaks	ENCSR159DQO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ERF-human	DNA					False	2018-02-12	ENCODE				1, 2							ENCFF383BUZ, ENCFF644EWQ	7132430	ENCODE Processing Pipeline	1035b295dd36e70f0a5f55ce78f8ef10		https://www.encodeproject.org/files/ENCFF646BLW/@@download/ENCFF646BLW.bed.gz	hg19			released	missing genetic modification characterization	experiment not submitted to GEO, characterization(s) pending review		missing control alignments
ENCFF898KZT	bed narrowPeak	peaks	ENCSR159DQO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ERF-human	DNA					False	2018-02-12	ENCODE				1, 2							ENCFF047FIB, ENCFF939ZVD	7139185	ENCODE Processing Pipeline	3fefe4fd67b6f20550c5888df7fbb4c9		https://www.encodeproject.org/files/ENCFF898KZT/@@download/ENCFF898KZT.bed.gz	GRCh38			released	missing genetic modification characterization	experiment not submitted to GEO, characterization(s) pending review		missing control alignments
ENCFF392RQB	bed narrowPeak	conservative idr thresholded peaks	ENCSR159DQO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ERF-human	DNA					False	2018-02-12	ENCODE				1, 2							ENCFF001TDO, ENCFF088RCG, ENCFF451NAF, ENCFF646BLW	507386	ENCODE Processing Pipeline	c0e4ee32203f74180edd0aff97457866		https://www.encodeproject.org/files/ENCFF392RQB/@@download/ENCFF392RQB.bed.gz	hg19			released	missing genetic modification characterization	experiment not submitted to GEO, characterization(s) pending review		missing control alignments
ENCFF391EBJ	bed narrowPeak	peaks	ENCSR159DQO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ERF-human	DNA					False	2018-02-12	ENCODE				1							ENCFF939ZVD	6954915	ENCODE Processing Pipeline	9a0c4a45600d1465b471449774251222		https://www.encodeproject.org/files/ENCFF391EBJ/@@download/ENCFF391EBJ.bed.gz	GRCh38			released	missing genetic modification characterization	experiment not submitted to GEO, characterization(s) pending review		missing control alignments
ENCFF290BDN	bed narrowPeak	peaks	ENCSR159DQO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ERF-human	DNA					False	2018-02-12	ENCODE				2							ENCFF047FIB	6601254	ENCODE Processing Pipeline	6ff8e6a9ffe65207ca4b6624a782db47		https://www.encodeproject.org/files/ENCFF290BDN/@@download/ENCFF290BDN.bed.gz	GRCh38			released	missing genetic modification characterization	experiment not submitted to GEO, characterization(s) pending review		missing control alignments
ENCFF998NID	bed narrowPeak	optimal idr thresholded peaks	ENCSR159DQO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ERF-human	DNA					False	2018-02-12	ENCODE				1, 2							ENCFF001TDO, ENCFF088RCG, ENCFF451NAF, ENCFF646BLW	570716	ENCODE Processing Pipeline	3c658d257fe24f1d0d25198f728c66ca		https://www.encodeproject.org/files/ENCFF998NID/@@download/ENCFF998NID.bed.gz	hg19			released	missing genetic modification characterization	experiment not submitted to GEO, characterization(s) pending review		missing control alignments
ENCFF221DHS	bed narrowPeak	conservative idr thresholded peaks	ENCSR159DQO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ERF-human	DNA					False	2018-02-12	ENCODE				1, 2							ENCFF290BDN, ENCFF391EBJ, ENCFF419RSJ, ENCFF898KZT	512146	ENCODE Processing Pipeline	f62a8c7cd7c811e2b6418e385b6b561e		https://www.encodeproject.org/files/ENCFF221DHS/@@download/ENCFF221DHS.bed.gz	GRCh38			released	missing genetic modification characterization	experiment not submitted to GEO, characterization(s) pending review		missing control alignments
ENCFF554LPO	bed narrowPeak	optimal idr thresholded peaks	ENCSR159DQO	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-ERF-human	DNA					False	2018-02-12	ENCODE				1, 2							ENCFF290BDN, ENCFF391EBJ, ENCFF419RSJ, ENCFF898KZT	566202	ENCODE Processing Pipeline	71c7ce7ede39d95da1eddd91308826ed		https://www.encodeproject.org/files/ENCFF554LPO/@@download/ENCFF554LPO.bed.gz	GRCh38			released	missing genetic modification characterization	experiment not submitted to GEO, characterization(s) pending review		missing control alignments
ENCFF361EFH	bed narrowPeak	peaks	ENCSR589SNT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-TFE3-human	DNA					False	2016-11-08	ENCODE				1, 2							ENCFF819ZGP, ENCFF900SVA	6707040	ENCODE Processing Pipeline	912ea76eb7138d73b88dc33ff038d2cd		https://www.encodeproject.org/files/ENCFF361EFH/@@download/ENCFF361EFH.bed.gz	GRCh38			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF918BXV	bed narrowPeak	peaks	ENCSR589SNT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-TFE3-human	DNA					False	2016-11-08	ENCODE				1							ENCFF900SVA	5980772	ENCODE Processing Pipeline	83302312b07d3f8e7ece2de66804b931		https://www.encodeproject.org/files/ENCFF918BXV/@@download/ENCFF918BXV.bed.gz	GRCh38			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
ENCFF803SFF	bed narrowPeak	peaks	ENCSR589SNT	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				3xFLAG-TFE3-human	DNA					False	2016-11-08	ENCODE				2							ENCFF819ZGP	6206834	ENCODE Processing Pipeline	126c288415b44e1947026a2dceafca70		https://www.encodeproject.org/files/ENCFF803SFF/@@download/ENCFF803SFF.bed.gz	GRCh38			released	missing genetic modification characterization	characterization(s) pending review		missing control alignments
