File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF403GZC	bed narrowPeak	conservative idr thresholded peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF344HRG, ENCFF419RSJ, ENCFF785QCU, ENCFF934EYD	117587	ENCODE Processing Pipeline	810a3ceaf02c4b0befba613f5be4f648		https://www.encodeproject.org/files/ENCFF403GZC/@@download/ENCFF403GZC.bed.gz	GRCh38			released	low read length			
ENCFF629ZSD	bed narrowPeak	conservative idr thresholded peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF001TDO, ENCFF063GMG, ENCFF135VWG, ENCFF770GWM	98680	ENCODE Processing Pipeline	8d60e8b213fe10958274f490e0cfe048		https://www.encodeproject.org/files/ENCFF629ZSD/@@download/ENCFF629ZSD.bed.gz	hg19			archived	low read length			
ENCFF231TGQ	bed narrowPeak	optimal idr thresholded peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF001TDO, ENCFF063GMG, ENCFF135VWG, ENCFF770GWM	131926	ENCODE Processing Pipeline	18f3a5f97cca0b5c798f4d6623c542f8		https://www.encodeproject.org/files/ENCFF231TGQ/@@download/ENCFF231TGQ.bed.gz	hg19			archived	low read length			
ENCFF706ZDC	bed narrowPeak	peaks	ENCSR014RCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPK-human	ENCAB000BFN	DNA			SDS	formaldehyde	False	2018-01-19	ENCODE				1							ENCFF760WGC, ENCFF819KWY	5400865	ENCODE Processing Pipeline	695f1b9f6228ae14903a7f0d3ab9d5f5		https://www.encodeproject.org/files/ENCFF706ZDC/@@download/ENCFF706ZDC.bed.gz	GRCh38			released	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF550AVU	bed narrowPeak	conservative idr thresholded peaks	ENCSR014RCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPK-human	ENCAB000BFN	DNA			SDS	formaldehyde	False	2018-01-19	ENCODE				1, 2							ENCFF052YKV, ENCFF054IHO, ENCFF419RSJ, ENCFF706ZDC	188795	ENCODE Processing Pipeline	09aec6db7836b9236284a5c7be5630db		https://www.encodeproject.org/files/ENCFF550AVU/@@download/ENCFF550AVU.bed.gz	GRCh38			released	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF052YKV	bed narrowPeak	peaks	ENCSR014RCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPK-human	ENCAB000BFN	DNA			SDS	formaldehyde	False	2018-01-19	ENCODE				2							ENCFF375ZQH, ENCFF588GTL	5314610	ENCODE Processing Pipeline	0cf2753438fb4d6d54ba68e3014cd43a		https://www.encodeproject.org/files/ENCFF052YKV/@@download/ENCFF052YKV.bed.gz	GRCh38			released	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF054IHO	bed narrowPeak	peaks	ENCSR014RCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPK-human	ENCAB000BFN	DNA			SDS	formaldehyde	False	2018-01-19	ENCODE				1, 2							ENCFF375ZQH, ENCFF588GTL, ENCFF760WGC, ENCFF819KWY	6819149	ENCODE Processing Pipeline	3e55910e754ce5e50ef70a31478858db		https://www.encodeproject.org/files/ENCFF054IHO/@@download/ENCFF054IHO.bed.gz	GRCh38			released	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF984QUV	bed narrowPeak	optimal idr thresholded peaks	ENCSR014RCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPK-human	ENCAB000BFN	DNA			SDS	formaldehyde	False	2018-01-19	ENCODE				1, 2							ENCFF052YKV, ENCFF054IHO, ENCFF419RSJ, ENCFF706ZDC	194431	ENCODE Processing Pipeline	31321af501f20a997860dd4e431d9053		https://www.encodeproject.org/files/ENCFF984QUV/@@download/ENCFF984QUV.bed.gz	GRCh38			released	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF439JKZ	bed narrowPeak	peaks	ENCSR014RCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPK-human	ENCAB000BFN	DNA			SDS	formaldehyde	False	2018-01-19	ENCODE				1							ENCFF021SBT, ENCFF152TEK	5434497	ENCODE Processing Pipeline	59a464a69517252724b7eb1cdfa9d73d		https://www.encodeproject.org/files/ENCFF439JKZ/@@download/ENCFF439JKZ.bed.gz	hg19			released	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF936IJD	bed narrowPeak	conservative idr thresholded peaks	ENCSR014RCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPK-human	ENCAB000BFN	DNA			SDS	formaldehyde	False	2018-01-19	ENCODE				1, 2							ENCFF001TDO, ENCFF037LWJ, ENCFF409JZE, ENCFF439JKZ	193151	ENCODE Processing Pipeline	1f6855240c7134024e44b963afae12cf		https://www.encodeproject.org/files/ENCFF936IJD/@@download/ENCFF936IJD.bed.gz	hg19			released	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF409JZE	bed narrowPeak	peaks	ENCSR014RCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPK-human	ENCAB000BFN	DNA			SDS	formaldehyde	False	2018-01-19	ENCODE				1, 2							ENCFF021SBT, ENCFF152TEK, ENCFF221JFQ, ENCFF584SKU	6888183	ENCODE Processing Pipeline	3da0ba679e03f44204ce0c1291d1f4ed		https://www.encodeproject.org/files/ENCFF409JZE/@@download/ENCFF409JZE.bed.gz	hg19			released	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF037LWJ	bed narrowPeak	peaks	ENCSR014RCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPK-human	ENCAB000BFN	DNA			SDS	formaldehyde	False	2018-01-19	ENCODE				2							ENCFF221JFQ, ENCFF584SKU	5373755	ENCODE Processing Pipeline	7debde54ef88e8ffa439ba7ffd770114		https://www.encodeproject.org/files/ENCFF037LWJ/@@download/ENCFF037LWJ.bed.gz	hg19			released	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF777CWV	bed narrowPeak	optimal idr thresholded peaks	ENCSR014RCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				HNRNPK-human	ENCAB000BFN	DNA			SDS	formaldehyde	False	2018-01-19	ENCODE				1, 2							ENCFF001TDO, ENCFF037LWJ, ENCFF409JZE, ENCFF439JKZ	198809	ENCODE Processing Pipeline	8eacb6c36160d8886684bfef22a5db39		https://www.encodeproject.org/files/ENCFF777CWV/@@download/ENCFF777CWV.bed.gz	hg19			released	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking, insufficient read depth	
ENCFF001VOY	bed narrowPeak	peaks	ENCSR000FBC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon alpha		6.0 hour	STAT2-human	ENCAB000ALG	DNA		see document	see document		False	2011-10-29	ENCODE												16103	Sherman Weissman, Yale	d1811f74462e9d25becbae05f7872427		https://www.encodeproject.org/files/ENCFF001VOY/@@download/ENCFF001VOY.bed.gz	hg19			archived	control low read depth	missing derived_from, biological replicates with identical biosample	insufficient read length, insufficient read depth	extremely low read depth
ENCFF002CYG	bed narrowPeak	optimal idr thresholded peaks	ENCSR000FBC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon alpha		6.0 hour	STAT2-human	ENCAB000ALG	DNA		see document	see document		False	2011-10-29	ENCODE												52027	ENCODE Consortium Analysis Working Group	536662a0526af993e9407b8b17b37312		https://www.encodeproject.org/files/ENCFF002CYG/@@download/ENCFF002CYG.bed.gz	hg19			archived	control low read depth	missing derived_from, biological replicates with identical biosample	insufficient read length, insufficient read depth	extremely low read depth
ENCFF201CUI	bed narrowPeak	peaks	ENCSR000FBC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon alpha		6.0 hour	STAT2-human	ENCAB000ALG	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF332CUX, ENCFF876GQO, ENCFF951ITB	4164833	ENCODE Processing Pipeline	eb9e489f4bc9bbec28e61a313f62f383		https://www.encodeproject.org/files/ENCFF201CUI/@@download/ENCFF201CUI.bed.gz	GRCh38			released	control low read depth	biological replicates with identical biosample	insufficient read length, insufficient read depth	extremely low read depth
ENCFF599VMK	bed narrowPeak	peaks	ENCSR000FBC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon alpha		6.0 hour	STAT2-human	ENCAB000ALG	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF969WVY, ENCFF998GMZ	1345941	ENCODE Processing Pipeline	ad7df233444d5a1f7d90a06cba4f1494		https://www.encodeproject.org/files/ENCFF599VMK/@@download/ENCFF599VMK.bed.gz	hg19			released	control low read depth	biological replicates with identical biosample	insufficient read length, insufficient read depth	extremely low read depth
