File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF715LJJ	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR820UYE	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										PABPN1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF974AOE/, /files/ENCFF554TBF/	1251934	Gene Yeo, UCSD	9ef50c556a4bee7faaa30b2d3e06debd		https://www.encodeproject.org/files/ENCFF715LJJ/@@download/ENCFF715LJJ.bed.gz				released	s3://encode-public/2018/04/29/4d3a9cbe-c6e4-412e-8058-77737c2d235f/ENCFF715LJJ.bed.gz			
ENCFF975HKC	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR820UYE	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										PABPN1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF190DLZ/, /files/ENCFF441BOM/, /files/ENCFF224LLH/, /files/ENCFF039QTN/, /files/ENCFF927DMJ/, /files/ENCFF922VHA/	90168	Gene Yeo, UCSD	37e242a9fd0c388d2bc21d0ce6635825		https://www.encodeproject.org/files/ENCFF975HKC/@@download/ENCFF975HKC.bed.gz				released	s3://encode-public/2018/06/08/07c12727-f313-43e9-8094-70908f9ba8e7/ENCFF975HKC.bed.gz			
ENCFF709FEU	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR820UYE	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										PABPN1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF974AOE/, /files/ENCFF269URO/, /files/ENCFF554TBF/, /files/ENCFF145LAD/, /files/ENCFF715LJJ/, /files/ENCFF890DJI/	89887	Gene Yeo, UCSD	12c82438c446ccef4adccd4e436cd766		https://www.encodeproject.org/files/ENCFF709FEU/@@download/ENCFF709FEU.bed.gz				released	s3://encode-public/2018/12/03/031cb4b9-f3d8-43e2-93e9-b06a3aab86a6/ENCFF709FEU.bed.gz			
ENCFF868YSF	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR085JPB	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF569JWF/, /files/ENCFF917IQK/	635941	Gene Yeo, UCSD	3e345e861d89f3167a4afe092db1dc83		https://www.encodeproject.org/files/ENCFF868YSF/@@download/ENCFF868YSF.bed.gz				released	s3://encode-public/2018/04/29/0f18c714-886f-49e2-9cc3-aca4687296ce/ENCFF868YSF.bed.gz			
ENCFF784AMG	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR085JPB	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF938XEE/, /files/ENCFF917IQK/	658985	Gene Yeo, UCSD	56cd2524d8c202df81628402ec33e69a		https://www.encodeproject.org/files/ENCFF784AMG/@@download/ENCFF784AMG.bed.gz				released	s3://encode-public/2018/04/29/6a02bfe6-78a9-427b-84de-331641431c25/ENCFF784AMG.bed.gz			
ENCFF966QXZ	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR085JPB	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF847AOM/, /files/ENCFF732NGW/	643040	Gene Yeo, UCSD	4ce39dfbd03a4e0c631c171cd615b366		https://www.encodeproject.org/files/ENCFF966QXZ/@@download/ENCFF966QXZ.bed.gz				released	s3://encode-public/2018/04/29/581f1216-cb60-441b-9d48-67b10cdf8b72/ENCFF966QXZ.bed.gz			
ENCFF014YMA	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR085JPB	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF060BRD/, /files/ENCFF732NGW/	616448	Gene Yeo, UCSD	3f8620da16c9543bfa4f4690c9c1103f		https://www.encodeproject.org/files/ENCFF014YMA/@@download/ENCFF014YMA.bed.gz				released	s3://encode-public/2018/04/29/acdb741c-1011-43e9-8c3e-a09a5dd8a465/ENCFF014YMA.bed.gz			
ENCFF431WWR	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR085JPB	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF917IQK/, /files/ENCFF569JWF/, /files/ENCFF938XEE/, /files/ENCFF784AMG/, /files/ENCFF039QTN/, /files/ENCFF868YSF/	4718	Gene Yeo, UCSD	83effd7bf1442b41341d4cf7af351dca		https://www.encodeproject.org/files/ENCFF431WWR/@@download/ENCFF431WWR.bed.gz				released	s3://encode-public/2018/06/08/05a40d1b-2133-4584-898e-41cab5acb18f/ENCFF431WWR.bed.gz			
ENCFF945NFS	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR085JPB	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF732NGW/, /files/ENCFF060BRD/, /files/ENCFF966QXZ/, /files/ENCFF269URO/, /files/ENCFF014YMA/, /files/ENCFF847AOM/	4831	Gene Yeo, UCSD	6376b40f17ce116515b230997fa590b3		https://www.encodeproject.org/files/ENCFF945NFS/@@download/ENCFF945NFS.bed.gz				released	s3://encode-public/2018/12/03/6613215c-8190-491c-af4f-26c79c4f2cbd/ENCFF945NFS.bed.gz			
ENCFF268SII	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR735HOK	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF331WIZ/, /files/ENCFF576RGE/	1510812	Gene Yeo, UCSD	87dea5f234bfa6f4d4d955de2fd0342d		https://www.encodeproject.org/files/ENCFF268SII/@@download/ENCFF268SII.bed.gz				released	s3://encode-public/2018/04/29/8da94ddf-3fde-4615-b018-48f623759d7c/ENCFF268SII.bed.gz	antibody characterized with exemption		
ENCFF904UKX	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR735HOK	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF843MHP/, /files/ENCFF576RGE/	1458487	Gene Yeo, UCSD	c8b54869ca0132fdb00cc60a3f6c2b49		https://www.encodeproject.org/files/ENCFF904UKX/@@download/ENCFF904UKX.bed.gz				released	s3://encode-public/2018/04/29/a180e413-621f-4a4d-99dc-2dc6a27f61c1/ENCFF904UKX.bed.gz	antibody characterized with exemption		
ENCFF311PHS	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR735HOK	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF560ZTA/, /files/ENCFF101VSR/	1485512	Gene Yeo, UCSD	53b1f18ef2d3494aa940cd4f22f9fbdc		https://www.encodeproject.org/files/ENCFF311PHS/@@download/ENCFF311PHS.bed.gz				released	s3://encode-public/2018/04/29/dca28e48-1652-4c3a-895b-71515869ed35/ENCFF311PHS.bed.gz	antibody characterized with exemption		
ENCFF401TWM	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR735HOK	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF148DUH/, /files/ENCFF101VSR/	1670189	Gene Yeo, UCSD	a8f498b373d3e3fd85880754c01873bb		https://www.encodeproject.org/files/ENCFF401TWM/@@download/ENCFF401TWM.bed.gz				released	s3://encode-public/2018/04/29/b1b34f0e-5cff-4150-a60f-043d0f70f0af/ENCFF401TWM.bed.gz	antibody characterized with exemption		
ENCFF075TIW	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR735HOK	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF268SII/, /files/ENCFF331WIZ/, /files/ENCFF904UKX/, /files/ENCFF843MHP/, /files/ENCFF576RGE/, /files/ENCFF039QTN/	50157	Gene Yeo, UCSD	6e2cef52bb5c95d6f629ab57c857a0e8		https://www.encodeproject.org/files/ENCFF075TIW/@@download/ENCFF075TIW.bed.gz				released	s3://encode-public/2018/06/08/e46f7baa-4ef5-40d0-881e-0edd8cc0654d/ENCFF075TIW.bed.gz	antibody characterized with exemption		
ENCFF185OEI	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR735HOK	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF401TWM/, /files/ENCFF560ZTA/, /files/ENCFF148DUH/, /files/ENCFF269URO/, /files/ENCFF101VSR/, /files/ENCFF311PHS/	48712	Gene Yeo, UCSD	5b2e3b98ac5a7268da8749faea229c19		https://www.encodeproject.org/files/ENCFF185OEI/@@download/ENCFF185OEI.bed.gz				released	s3://encode-public/2018/12/03/c76191aa-38e8-4999-a7f7-b4e741b75006/ENCFF185OEI.bed.gz	antibody characterized with exemption		
ENCFF591WOA	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR970FEW	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF879GTY/, /files/ENCFF943JVS/	1740669	Gene Yeo, UCSD	58a370b30210f5b7f6b995f1dbecc441		https://www.encodeproject.org/files/ENCFF591WOA/@@download/ENCFF591WOA.bed.gz				released	s3://encode-public/2018/04/29/546f1b9e-ef5c-4bf7-99b8-8ccb2cec5fd5/ENCFF591WOA.bed.gz			
ENCFF539JUN	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR970FEW	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF356MCF/, /files/ENCFF943JVS/	1750804	Gene Yeo, UCSD	f7950c78ed0b57f10ccfb9e0ccbca54f		https://www.encodeproject.org/files/ENCFF539JUN/@@download/ENCFF539JUN.bed.gz				released	s3://encode-public/2018/04/29/be289053-6832-412a-9bac-aedde7982afc/ENCFF539JUN.bed.gz			
ENCFF013SWN	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR970FEW	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF618EON/, /files/ENCFF662MYI/	1702682	Gene Yeo, UCSD	9620c2399412184a622635382502c61d		https://www.encodeproject.org/files/ENCFF013SWN/@@download/ENCFF013SWN.bed.gz				released	s3://encode-public/2018/04/29/1fe43500-624b-4cf1-993a-2b9641cd7463/ENCFF013SWN.bed.gz			
ENCFF563XEI	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR970FEW	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF340WIB/, /files/ENCFF662MYI/	1716883	Gene Yeo, UCSD	63e43fe34356ac72e93d5dadccde9fb3		https://www.encodeproject.org/files/ENCFF563XEI/@@download/ENCFF563XEI.bed.gz				released	s3://encode-public/2018/04/29/2f842e07-5502-41a4-9559-1175d0c7497c/ENCFF563XEI.bed.gz			
