File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF525NXB	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR891RIC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										NIPBL-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF861ARK/, /files/ENCFF411ZIS/	882968	Gene Yeo, UCSD	835c6bce2222e1577080cc8119a28d68		https://www.encodeproject.org/files/ENCFF525NXB/@@download/ENCFF525NXB.bed.gz				released	s3://encode-public/2018/04/29/88de9a88-e8fc-486e-96eb-10041ddce894/ENCFF525NXB.bed.gz			
ENCFF563ZUY	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR891RIC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										NIPBL-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF532OLG/, /files/ENCFF396TYB/	1259857	Gene Yeo, UCSD	ee0940331baf3ca4eb3e6fdfe20982c7		https://www.encodeproject.org/files/ENCFF563ZUY/@@download/ENCFF563ZUY.bed.gz				released	s3://encode-public/2018/04/29/6c107022-1e31-4a7b-a02e-dcff39ebc6e4/ENCFF563ZUY.bed.gz			
ENCFF097GJE	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR891RIC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										NIPBL-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF400EPM/, /files/ENCFF396TYB/	871725	Gene Yeo, UCSD	dea7d1b5d1c39e7c60dfd814769194a4		https://www.encodeproject.org/files/ENCFF097GJE/@@download/ENCFF097GJE.bed.gz				released	s3://encode-public/2018/04/29/a9858c5b-d9ab-4b17-b793-3ff0c8c99e38/ENCFF097GJE.bed.gz			
ENCFF092XHF	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR891RIC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										NIPBL-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF472YSO/, /files/ENCFF525NXB/, /files/ENCFF411ZIS/, /files/ENCFF039QTN/, /files/ENCFF861ARK/, /files/ENCFF484RAM/	8788	Gene Yeo, UCSD	b0928cddfd8709e78afc4b713335d308		https://www.encodeproject.org/files/ENCFF092XHF/@@download/ENCFF092XHF.bed.gz				released	s3://encode-public/2018/06/08/8f4880c1-2020-42a2-adaf-1fd058f6c47a/ENCFF092XHF.bed.gz			
ENCFF554NIV	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR891RIC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										NIPBL-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF396TYB/, /files/ENCFF269URO/, /files/ENCFF563ZUY/, /files/ENCFF097GJE/, /files/ENCFF400EPM/, /files/ENCFF532OLG/	8531	Gene Yeo, UCSD	6c4c1f9417b48fbb3335d8359f656aa0		https://www.encodeproject.org/files/ENCFF554NIV/@@download/ENCFF554NIV.bed.gz				released	s3://encode-public/2018/12/03/bd9fd484-cf38-4ff9-8c1e-51e411e544a3/ENCFF554NIV.bed.gz			
ENCFF515ATI	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR181NRW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ZC3H8-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF717DIZ/, /files/ENCFF279QTB/	347239	Gene Yeo, UCSD	7e45ad71ef41effcd14a73ad5684f7ae		https://www.encodeproject.org/files/ENCFF515ATI/@@download/ENCFF515ATI.bed.gz				released	s3://encode-public/2018/04/29/fab41a68-32db-4824-9081-4cfa3193add5/ENCFF515ATI.bed.gz			
ENCFF990BSZ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR181NRW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ZC3H8-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF302NJT/, /files/ENCFF279QTB/	507129	Gene Yeo, UCSD	96ae8108ac69b43ad9d25a2d7f3268a8		https://www.encodeproject.org/files/ENCFF990BSZ/@@download/ENCFF990BSZ.bed.gz				released	s3://encode-public/2018/04/29/129d571f-ce6d-4fd1-a902-3d6238fad836/ENCFF990BSZ.bed.gz			
ENCFF670VYB	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR181NRW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ZC3H8-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF409GUM/, /files/ENCFF661LGO/	331079	Gene Yeo, UCSD	c7e66aa0fe7faf52e230502b09282146		https://www.encodeproject.org/files/ENCFF670VYB/@@download/ENCFF670VYB.bed.gz				released	s3://encode-public/2018/04/29/1fa0a140-9a33-495d-8ac4-ec32120c35b3/ENCFF670VYB.bed.gz			
ENCFF725VLW	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR181NRW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ZC3H8-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF892SVF/, /files/ENCFF661LGO/	488338	Gene Yeo, UCSD	bb8136cb8d6f8a578f0668f99f2b5354		https://www.encodeproject.org/files/ENCFF725VLW/@@download/ENCFF725VLW.bed.gz				released	s3://encode-public/2018/04/29/0b7f0872-44ee-4cf1-a505-ed1238932353/ENCFF725VLW.bed.gz			
ENCFF207UUG	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR181NRW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ZC3H8-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF279QTB/, /files/ENCFF717DIZ/, /files/ENCFF990BSZ/, /files/ENCFF515ATI/, /files/ENCFF302NJT/, /files/ENCFF039QTN/	6978	Gene Yeo, UCSD	bb10a9cf6d8f55b3c27c385ecf434f17		https://www.encodeproject.org/files/ENCFF207UUG/@@download/ENCFF207UUG.bed.gz				released	s3://encode-public/2018/06/08/02693d7e-a2e7-49cf-9601-9e257abdcd34/ENCFF207UUG.bed.gz			
ENCFF382URH	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR181NRW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ZC3H8-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF892SVF/, /files/ENCFF661LGO/, /files/ENCFF269URO/, /files/ENCFF409GUM/, /files/ENCFF725VLW/, /files/ENCFF670VYB/	6924	Gene Yeo, UCSD	fe8b286b4e301897f41f1d0a8404f9df		https://www.encodeproject.org/files/ENCFF382URH/@@download/ENCFF382URH.bed.gz				released	s3://encode-public/2018/12/03/b6517734-4314-4b27-b2c9-ae51e9e4f10e/ENCFF382URH.bed.gz			
ENCFF509FAF	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR349CMI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF748FDO/, /files/ENCFF701CEW/	629727	Gene Yeo, UCSD	b7de0e0e7154113b5c0e080f43c7b5aa		https://www.encodeproject.org/files/ENCFF509FAF/@@download/ENCFF509FAF.bed.gz				released	s3://encode-public/2018/04/29/efc689e0-ca89-402d-a105-60cd1ee59989/ENCFF509FAF.bed.gz	mixed read lengths		
ENCFF425HAU	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR349CMI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF380CNM/, /files/ENCFF701CEW/	401872	Gene Yeo, UCSD	5cf817c1a17a75a50e572c84a0977d63		https://www.encodeproject.org/files/ENCFF425HAU/@@download/ENCFF425HAU.bed.gz				released	s3://encode-public/2018/04/29/a23a3b5d-5d0a-43de-a6ec-d9ecd34e50fd/ENCFF425HAU.bed.gz	mixed read lengths		
ENCFF545IBP	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR349CMI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF912BRE/, /files/ENCFF873AEV/	623056	Gene Yeo, UCSD	c42e296e46023f8e290b0595bf47dd2a		https://www.encodeproject.org/files/ENCFF545IBP/@@download/ENCFF545IBP.bed.gz				released	s3://encode-public/2018/04/29/bd3ca0de-6a64-4352-8364-ab8a4eb2adf1/ENCFF545IBP.bed.gz	mixed read lengths		
ENCFF213FHW	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR349CMI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF580XQC/, /files/ENCFF873AEV/	396867	Gene Yeo, UCSD	6427af30c81364f86db4984be9719f5e		https://www.encodeproject.org/files/ENCFF213FHW/@@download/ENCFF213FHW.bed.gz				released	s3://encode-public/2018/04/29/c46d898e-99a6-4d03-bd1f-2dab0c8589c0/ENCFF213FHW.bed.gz	mixed read lengths		
ENCFF358QSY	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR349CMI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF425HAU/, /files/ENCFF509FAF/, /files/ENCFF701CEW/, /files/ENCFF748FDO/, /files/ENCFF380CNM/, /files/ENCFF039QTN/	3889	Gene Yeo, UCSD	6d8c08428db1b49719f561349061a560		https://www.encodeproject.org/files/ENCFF358QSY/@@download/ENCFF358QSY.bed.gz				released	s3://encode-public/2018/06/08/5c186925-96c5-4094-b37c-93b591a409a5/ENCFF358QSY.bed.gz	mixed read lengths		
ENCFF244JER	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR349CMI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF912BRE/, /files/ENCFF213FHW/, /files/ENCFF269URO/, /files/ENCFF580XQC/, /files/ENCFF545IBP/, /files/ENCFF873AEV/	3822	Gene Yeo, UCSD	58f57b753ff4970fc3ec116bf8a8a338		https://www.encodeproject.org/files/ENCFF244JER/@@download/ENCFF244JER.bed.gz				released	s3://encode-public/2018/12/03/9357d5ba-97dd-40c4-a8af-cfd598154766/ENCFF244JER.bed.gz	mixed read lengths		
ENCFF572GMO	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR040QLV	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										DDX21-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF099RYM/, /files/ENCFF787VFD/	373026	Gene Yeo, UCSD	c0e6cc4cc6bb8aec7bdf8df42e56848d		https://www.encodeproject.org/files/ENCFF572GMO/@@download/ENCFF572GMO.bed.gz				released	s3://encode-public/2018/04/29/c25f450e-902c-4143-b1c8-b8737bbca080/ENCFF572GMO.bed.gz	mixed read lengths		
ENCFF945XNS	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR040QLV	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										DDX21-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF845KUG/, /files/ENCFF787VFD/	765855	Gene Yeo, UCSD	a9efb52e6a4a6f111548b4c95984bfa8		https://www.encodeproject.org/files/ENCFF945XNS/@@download/ENCFF945XNS.bed.gz				released	s3://encode-public/2018/04/29/3bf16ccf-ffae-4285-8579-b7069241cf25/ENCFF945XNS.bed.gz	mixed read lengths		
ENCFF371SNO	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR040QLV	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										DDX21-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF455REV/, /files/ENCFF212EDY/	764296	Gene Yeo, UCSD	6c7768cd29badc5cacc8780599031227		https://www.encodeproject.org/files/ENCFF371SNO/@@download/ENCFF371SNO.bed.gz				released	s3://encode-public/2018/04/29/db690d0e-c03c-46e7-b5ad-194bdc4463ba/ENCFF371SNO.bed.gz	mixed read lengths		
ENCFF005ZCI	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR040QLV	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										DDX21-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF655QSG/, /files/ENCFF212EDY/	364776	Gene Yeo, UCSD	90a924317481d0af7ef150ec0f32b35a		https://www.encodeproject.org/files/ENCFF005ZCI/@@download/ENCFF005ZCI.bed.gz				released	s3://encode-public/2018/04/29/9ea5a394-82b9-4e7d-8bf7-a5b76af6c93b/ENCFF005ZCI.bed.gz	mixed read lengths		
ENCFF800GPC	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR040QLV	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										DDX21-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF099RYM/, /files/ENCFF845KUG/, /files/ENCFF945XNS/, /files/ENCFF572GMO/, /files/ENCFF039QTN/, /files/ENCFF787VFD/	2238	Gene Yeo, UCSD	05647bdc449a4cc735d94a439b14ce87		https://www.encodeproject.org/files/ENCFF800GPC/@@download/ENCFF800GPC.bed.gz				released	s3://encode-public/2018/06/08/2a2589ec-0ed9-409d-8212-9cc6edf938c6/ENCFF800GPC.bed.gz	mixed read lengths		
ENCFF378OYA	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR040QLV	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										DDX21-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF455REV/, /files/ENCFF371SNO/, /files/ENCFF269URO/, /files/ENCFF212EDY/, /files/ENCFF005ZCI/, /files/ENCFF655QSG/	2109	Gene Yeo, UCSD	fb7c42644d2c924f3945cf7b0690f598		https://www.encodeproject.org/files/ENCFF378OYA/@@download/ENCFF378OYA.bed.gz				released	s3://encode-public/2018/12/03/c95f2431-6799-4260-bec6-13e21bb80bb3/ENCFF378OYA.bed.gz	mixed read lengths		
ENCFF380SYQ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR202HKN	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WDR3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF444UFA/, /files/ENCFF789QMT/	164274	Gene Yeo, UCSD	891dcd646f271d4c857c75d2666806fc		https://www.encodeproject.org/files/ENCFF380SYQ/@@download/ENCFF380SYQ.bed.gz				released	s3://encode-public/2018/04/29/7d2bb319-19a3-4ad1-bc87-20daa4d81d9e/ENCFF380SYQ.bed.gz			
ENCFF991NPH	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR202HKN	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WDR3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF731PVT/, /files/ENCFF789QMT/	400981	Gene Yeo, UCSD	c7c353676de866fab168069defa489bb		https://www.encodeproject.org/files/ENCFF991NPH/@@download/ENCFF991NPH.bed.gz				released	s3://encode-public/2018/04/29/fcf2cedd-4fa1-43d6-ad84-e4e0205b6ba1/ENCFF991NPH.bed.gz			
ENCFF110QAU	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR202HKN	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WDR3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF372YUO/, /files/ENCFF978VBW/	157073	Gene Yeo, UCSD	7b97e4d935d77e7bb4c7d665669dc90c		https://www.encodeproject.org/files/ENCFF110QAU/@@download/ENCFF110QAU.bed.gz				released	s3://encode-public/2018/04/29/cbed0f6b-56e8-42c3-8b16-67f5cb8b37cf/ENCFF110QAU.bed.gz			
ENCFF093FTO	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR202HKN	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WDR3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF416OND/, /files/ENCFF978VBW/	377441	Gene Yeo, UCSD	6a6c0df34f48b1ece1f8aebfc3901f26		https://www.encodeproject.org/files/ENCFF093FTO/@@download/ENCFF093FTO.bed.gz				released	s3://encode-public/2018/04/29/d1fb8b83-7d6a-4553-8510-ddc18319bf20/ENCFF093FTO.bed.gz			
